56200 [4.9339e-01, 4.9906e-01]
56300 [4.9340e-01, 4.9907e-01]
56400 [4.9339e-01, 4.9905e-01]
56500 [4.9339e-01, 4.9906e-01]
56600 [4.9339e-01, 4.9906e-01]
56700 [4.9339e-01, 4.9906e-01]
56800 [4.9340e-01, 4.9905e-01]
56900 [4.9340e-01, 4.9906e-01]
57000 [4.9340e-01, 4.9906e-01]
57100 [4.9341e-01, 4.9907e-01]
57200 [4.9340e-01, 4.9905e-01]
57300 [4.9340e-01, 4.9906e-01]
57400 [4.9340e-01, 4.9906e-01]
57500 [4.9340e-01, 4.9906e-01]
57600 [4.9340e-01, 4.9905e-01]
57700 [4.9340e-01, 4.9906e-01]
57800 [4.9340e-01, 4.9906e-01]
57900 [4.9341e-01, 4.9905e-01]
58000 [4.9340e-01, 4.9906e-01]
58100 [4.9340e-01, 4.9906e-01]
58200 [4.9341e-01, 4.9908e-01]
58300 [4.9340e-01, 4.9905e-01]
58400 [4.9338e-01, 4.9907e-01]
58500 [4.9341e-01, 4.9906e-01]
58600 [4.9341e-01, 4.9906e-01]
58700 [4.9341e-01, 4.9905e-01]
58800 [4.9341e-01, 4.9906e-01]
58900 [4.9341e-01, 4.9906e-01]
59000 [4.9341e-01, 4.9906e-01]
59100 [4.9341e-01, 4.9906e-01]
59200 [4.9341e-01, 4.9906e-01]
59300 [4.9342e-01, 4.9907e-01]
59400 [4.9340e-01, 4.9905e-01]
59500 [4.9341e-01, 4.9906e-01]
59600 [4.9341e-01, 4.9906e-01]
59700 [4.9340e-01, 4.9906e-01]
59800 [4.9341e-01, 4.9905e-01]
59900 [4.9342e-01, 4.9906e-01]
60000 [4.9342e-01, 4.9905e-01]
60100 [4.9342e-01, 4.9906e-01]
60200 [4.9342e-01, 4.9906e-01]
60300 [4.9343e-01, 4.9906e-01]
60400 [4.9342e-01, 4.9905e-01]
60500 [4.9342e-01, 4.9906e-01]
60600 [4.9343e-01, 4.9904e-01]
60700 [4.9343e-01, 4.9905e-01]
60800 [4.9342e-01, 4.9905e-01]
60900 [4.9342e-01, 4.9906e-01]
61000 [4.9343e-01, 4.9906e-01]
61100 [4.9343e-01, 4.9905e-01]
61200 [4.9343e-01, 4.9905e-01]
61300 [4.9343e-01, 4.9905e-01]
61400 [4.9343e-01, 4.9905e-01]
61500 [4.9343e-01, 4.9905e-01]
61600 [4.9344e-01, 4.9905e-01]
61700 [4.9343e-01, 4.9905e-01]
61800 [4.9343e-01, 4.9905e-01]
61900 [4.9344e-01, 4.9905e-01]
